2026-04-21 07:04:32,374 | INFO     | __main__ | Raw contrastive diffs saved → results/pca_directions/mistral/sycophancy_suppression/raw_diffs.pt
2026-04-21 07:04:32,376 | INFO     | __main__ | Variance explained CSV saved → results/pca_directions/mistral/sycophancy_suppression/variance_explained.csv
2026-04-21 07:04:32,379 | INFO     | __main__ | Split indices saved → results/pca_directions/mistral/sycophancy_suppression/split_indices.json
2026-04-21 07:04:32,618 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:04:32,618 | INFO     | __main__ | Model=mistral  Behavior=refusal_calibration
2026-04-21 07:04:32,618 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:04:32,619 | INFO     | __main__ | Loaded 200 contrastive pairs for behavior 'refusal_calibration'.
2026-04-21 07:04:32,619 | INFO     | __main__ | Split: 160 train / 40 test  (seed=42).
2026-04-21 07:04:32,625 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-21 07:04:32,625 | INFO     | __main__ | Extracting contrastive diffs for 160 train pairs…
2026-04-21 07:04:32,625 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 160 pairs across 32 layers.
2026-04-21 07:04:39,162 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-21 07:04:39,163 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.0                  PC0=0.6404  PC1=0.0412  PC2=0.0160  PC3=0.0107  PC4=0.0092
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.1                  PC0=0.9989  PC1=0.0001  PC2=0.0000  PC3=0.0000  PC4=0.0000
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.2                  PC0=0.9977  PC1=0.0002  PC2=0.0001  PC3=0.0001  PC4=0.0001
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.3                  PC0=0.9959  PC1=0.0003  PC2=0.0002  PC3=0.0001  PC4=0.0001
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.4                  PC0=0.9933  PC1=0.0005  PC2=0.0003  PC3=0.0002  PC4=0.0002
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.5                  PC0=0.9891  PC1=0.0008  PC2=0.0005  PC3=0.0003  PC4=0.0003
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.6                  PC0=0.9844  PC1=0.0011  PC2=0.0007  PC3=0.0005  PC4=0.0004
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.7                  PC0=0.9784  PC1=0.0016  PC2=0.0011  PC3=0.0006  PC4=0.0006
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.8                  PC0=0.9722  PC1=0.0019  PC2=0.0016  PC3=0.0009  PC4=0.0008
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.9                  PC0=0.9656  PC1=0.0024  PC2=0.0021  PC3=0.0010  PC4=0.0009
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.10                 PC0=0.9579  PC1=0.0031  PC2=0.0027  PC3=0.0013  PC4=0.0011
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.11                 PC0=0.9481  PC1=0.0042  PC2=0.0033  PC3=0.0016  PC4=0.0014
2026-04-21 07:04:39,163 | INFO     | __main__ |   model.layers.12                 PC0=0.9391  PC1=0.0051  PC2=0.0040  PC3=0.0019  PC4=0.0017
2026-04-21 07:04:39,164 | INFO     | __main__ |   model.layers.13                 PC0=0.9248  PC1=0.0072  PC2=0.0050  PC3=0.0023  PC4=0.0021
2026-04-21 07:04:39,164 | INFO     | __main__ |   model.layers.14                 PC0=0.9064  PC1=0.0095  PC2=0.0065  PC3=0.0029  PC4=0.0028
2026-04-21 07:04:39,164 | INFO     | __main__ |   model.layers.15                 PC0=0.8749  PC1=0.0150  PC2=0.0085  PC3=0.0040  PC4=0.0038
2026-04-21 07:04:39,164 | INFO     | __main__ |   model.layers.16                 PC0=0.8335  PC1=0.0219  PC2=0.0100  PC3=0.0063  PC4=0.0052
2026-04-21 07:04:39,164 | INFO     | __main__ |   model.layers.17                 PC0=0.7786  PC1=0.0313  PC2=0.0130  PC3=0.0079  PC4=0.0069
