2026-04-19 04:28:34,091 | INFO     | __main__ | Permutation seed=42002: permuting 16/32 layers: [1, 4, 6, 8, 9, 10, 13, 15, 21, 22, 23, 27, 28, 29, 30, 31]
2026-04-19 04:28:34,091 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42002, layers=[1, 4, 6, 8, 9, 10, 13, 15, 21, 22, 23, 27, 28, 29, 30, 31]).
2026-04-19 04:28:34,563 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:34,573 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:34,573 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:36,542 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:36,547 | INFO     | __main__ |   Permutation seed=42002: mean_cosine_sim=0.0985  n_layers_permuted=16
2026-04-19 04:28:36,766 | INFO     | __main__ | Permutation seed=42003: permuting 16/32 layers: [0, 3, 4, 9, 11, 12, 16, 17, 19, 21, 22, 24, 25, 27, 28, 31]
2026-04-19 04:28:36,766 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42003, layers=[0, 3, 4, 9, 11, 12, 16, 17, 19, 21, 22, 24, 25, 27, 28, 31]).
2026-04-19 04:28:37,236 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:37,246 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:37,246 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:38,923 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:38,928 | INFO     | __main__ |   Permutation seed=42003: mean_cosine_sim=0.0710  n_layers_permuted=16
2026-04-19 04:28:39,144 | INFO     | __main__ | Permutation seed=42004: permuting 16/32 layers: [0, 2, 5, 8, 9, 12, 16, 17, 18, 19, 20, 24, 25, 26, 28, 29]
2026-04-19 04:28:39,144 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42004, layers=[0, 2, 5, 8, 9, 12, 16, 17, 18, 19, 20, 24, 25, 26, 28, 29]).
2026-04-19 04:28:39,616 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:39,627 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:39,627 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:41,340 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:41,344 | INFO     | __main__ |   Permutation seed=42004: mean_cosine_sim=0.0677  n_layers_permuted=16
2026-04-19 04:28:41,565 | INFO     | __main__ | Permutation invariance for llama/formality: mean cosine sim = 0.0785 ± 0.1265  (min=0.0235, max=1.0000, n_perm=5)  claim_supported=False
2026-04-19 04:28:41,567 | INFO     | __main__ | Invariance scores CSV saved → results/permutation_invariance/llama/formality/invariance_scores.csv
2026-04-19 04:28:41,568 | INFO     | __main__ | .pt checkpoint saved → results/permutation_invariance/llama/formality/invariance_scores.pt
2026-04-19 04:28:41,568 | INFO     | __main__ | Summary JSON saved → results/permutation_invariance/llama/formality/summary.json
2026-04-19 04:28:41,569 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:28:41,569 | INFO     | __main__ | Model=llama  Behavior=uncertainty_expression
2026-04-19 04:28:41,569 | INFO     | __main__ | ------------------------------------------------------------
2026-04-19 04:28:41,569 | WARNING  | __main__ | directions.pt not found at results/pca_directions/llama/uncertainty_expression/directions.pt.  Running 02_contrastive_extraction.py…
2026-04-19 04:28:41,569 | INFO     | __main__ | Subprocess: /usr/bin/python experiments/02_contrastive_extraction.py --model llama --behavior uncertainty_expression --n-components 5 --device cuda --output-dir results/pca_directions --seed 42
2026-04-19 04:28:56,581 | INFO     | __main__ | Using saved train split (36 pairs) from results/pca_directions/llama/uncertainty_expression/split_indices.json.
2026-04-19 04:28:56,581 | INFO     | __main__ | Using 36 training pairs for permutation invariance test.
2026-04-19 04:28:56,582 | INFO     | __main__ | Permutation seed=42000: permuting 16/32 layers: [1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]
2026-04-19 04:28:56,582 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42000, layers=[1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]).
2026-04-19 04:28:56,907 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:56,917 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:56,918 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:58,617 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:58,621 | INFO     | __main__ |   Permutation seed=42000: mean_cosine_sim=0.0740  n_layers_permuted=16
2026-04-19 04:28:58,841 | INFO     | __main__ | Permutation seed=42001: permuting 16/32 layers: [0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]
2026-04-19 04:28:58,841 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42001, layers=[0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]).
2026-04-19 04:28:59,315 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:59,325 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
